PID        CPU        RSS        CMD       
4216       84.09      265668     code      
1505       15.91      167560     tracker-miner-f
1776       15.91      224564     gnome-shell
1561       9.09       176512     Xorg      
5578       9.09       362232     chrome    
3984       6.82       108592     code      
4309       6.82       163600     code      
4466       4.55       25200      cpptools  
5012       4.55       117836     chrome    
3950       2.27       135352     code      
4053       2.27       173628     code      
4298       2.27       60296      code      
4971       2.27       292036     chrome    
5017       2.27       103564     chrome    
7046       2.27       149400     chrome    
